osm_id,from_id,to_id,distance_m,fclass,oneway,maxspeed
23262989,6,7,713.1,residential,0,20
24019812,16,17,6650.09,trunk,0,80
26140607,31,32,6.32,trunk,0,40
26140632,33,34,243.3,trunk,0,80
26140633,35,36,122.98,trunk,0,80
26339560,39,40,8331.45,trunk,0,80
27819350,104,105,537.48,secondary,0,40
27819500,118,119,164.51,secondary,0,40
27819520,120,121,220.13,secondary,0,40
27819521,122,123,63.92,secondary,0,40
27819530,102,106,700.63,secondary,0,40
27822583,136,137,282.47,secondary,0,20
27909720,148,149,27.19,primary,0,50
27909858,154,155,26.5,primary,0,50
27909863,156,157,787.14,primary,0,50
27909867,160,161,438.65,primary,0,50
27910242,164,165,285.52,secondary,0,50
27914388,174,175,428.7,trunk,0,80
27914405,180,181,630.37,trunk,0,50
27914480,182,174,98.69,trunk,0,80
27914572,183,184,327.95,trunk,0,80
27914578,185,182,709.13,trunk,0,80
27917017,202,203,57.77,trunk,0,80
27917064,205,206,864.41,trunk,0,80
27917093,207,208,666.16,secondary,0,50
27928007,215,216,371.89,secondary,0,50
27928047,219,220,1064.07,secondary,0,50
27928062,221,222,701.28,secondary,0,50
27928161,230,231,772.39,secondary,0,50
27928204,232,233,484.9,trunk,0,50
27928265,237,238,147.03,secondary,0,50
27928279,247,248,419.0,secondary,0,50
27928415,256,257,654.98,secondary,0,60
27932617,264,265,49.08,secondary,0,50
27932620,266,267,118.09,secondary,0,50
28275391,347,348,130.5,residential,0,15
28676039,445,446,39.7,primary,0,30
29047100,475,476,2912.58,trunk,0,80
29049799,491,492,167.66,trunk,0,80
29050971,495,496,3431.95,tertiary,0,50
29051516,501,502,2882.71,secondary,0,60
29051703,505,506,28.19,trunk,0,20
29051705,507,508,1346.12,secondary,0,60
29052037,509,510,2573.64,trunk,0,80
29052773,515,516,7299.1,trunk,0,80
29052774,517,518,4027.76,trunk,0,80
29052776,519,520,4324.0,trunk,0,80
29055357,529,530,6598.9,trunk,0,80
29055363,531,532,3394.78,trunk,0,80
29056207,538,539,6195.83,trunk,0,80
29056208,540,541,5475.7,trunk,0,80
29056211,542,543,215.96,trunk,0,80
29056213,544,545,7152.22,trunk,0,80
29056214,546,547,11.67,trunk,0,40
29066097,552,553,1615.77,trunk,0,80
29066202,556,557,371.89,primary,0,60
29066203,557,558,1378.2,primary,0,60
29066448,563,564,3842.1,trunk,0,80
29066449,565,566,2480.22,trunk,0,80
29066452,569,570,7949.32,trunk,0,80
29066896,571,572,197.58,primary,0,40
29067802,575,576,58.28,primary,0,40
29068240,579,580,3308.21,trunk,0,80
29068241,581,582,8816.43,trunk,0,80
29068242,583,584,7693.7,trunk,0,80
29068651,585,586,56.98,trunk,0,40
29068653,587,588,3182.81,trunk,0,80
29068768,591,592,5542.61,trunk,0,80
29069824,593,594,22.09,trunk,0,80
29069838,595,596,301.6,trunk,0,80
29070775,603,604,277.51,trunk,0,80
29070787,605,606,86.73,trunk,0,80
29070813,607,608,10.15,trunk,0,80
29070822,609,610,434.3,trunk,0,80
29071585,615,616,421.23,secondary,0,40
29071586,616,617,128.71,secondary,0,60
29072064,618,619,501.83,secondary,0,30
29072069,620,621,5254.53,trunk,0,80
29072340,622,623,391.35,trunk,0,80
