osm_id,from_id,to_id,distance_m,fclass,oneway,maxspeed
23262895,0,1,841.23,residential,0,25.14
23262948,2,3,611.05,residential,0,25.14
23262982,4,5,489.21,residential,0,25.14
23262989,6,7,713.1,residential,0,20.0
23263232,8,9,254.74,tertiary,0,53.15
23263244,10,11,1012.22,residential,0,25.14
23263442,12,13,419.89,residential,0,25.14
23263492,14,15,226.81,tertiary,0,53.15
24019812,16,17,6650.09,trunk,0,80.0
24948114,18,19,46.54,secondary,0,58.22
24948115,20,21,38.73,secondary,0,58.22
24948120,19,22,68.49,secondary,0,58.22
24948174,23,24,255.34,secondary,0,58.22
24948188,25,26,346.61,secondary,0,58.22
24948290,27,28,32.71,primary,0,56.19
26140607,31,32,6.32,trunk,0,40.0
26140632,33,34,243.3,trunk,0,80.0
26140633,35,36,122.98,trunk,0,80.0
26339249,37,38,718.74,trunk,0,74.39
26339560,39,40,8331.45,trunk,0,80.0
27482649,41,42,23.17,primary,0,56.19
27482663,43,44,118.67,primary_link,0,45.42
27482664,45,41,132.43,primary,0,56.19
27482721,46,47,94.93,primary_link,0,45.42
27482728,48,49,151.66,primary_link,0,45.42
27482767,50,51,86.95,primary_link,0,45.42
27482792,52,53,172.99,primary_link,0,45.42
27482857,54,55,359.02,primary,0,56.19
27482875,56,57,9.73,primary,0,56.19
27482898,58,59,320.41,primary,0,56.19
27482950,60,61,218.87,residential,0,25.14
27482967,62,63,988.11,residential,0,25.14
27482969,64,65,181.57,residential,0,25.14
27482972,66,67,988.5,residential,0,25.14
27482977,68,69,409.54,residential,0,25.14
27482982,70,71,989.63,residential,0,25.14
27482990,72,73,988.95,residential,0,25.14
27482994,74,75,988.85,residential,0,25.14
27483003,76,77,988.8,residential,0,25.14
27483004,78,79,988.04,residential,0,25.14
27483011,80,81,988.54,residential,0,25.14
27483021,82,83,355.44,residential,0,25.14
27483039,84,85,867.35,residential,0,25.14
27483042,86,87,39.77,residential,0,25.14
27483144,88,89,235.53,secondary,0,58.22
27613750,90,91,119.02,residential,0,25.14
27764124,92,93,67.39,residential,0,25.14
27818007,94,95,31.69,secondary,0,58.22
27818058,96,97,315.21,secondary,0,58.22
27818142,98,99,206.46,secondary,0,58.22
27819340,100,101,784.37,secondary,0,58.22
27819341,102,103,48.96,secondary,0,58.22
27819350,104,105,537.48,secondary,0,40.0
27819351,106,107,1.69,secondary,0,58.22
27819358,108,109,10.54,secondary,0,58.22
27819360,110,111,154.19,secondary,0,58.22
27819382,112,113,94.31,residential,0,25.14
27819412,114,115,233.52,secondary,0,58.22
27819495,116,117,492.68,secondary,0,58.22
27819500,118,119,164.51,secondary,0,40.0
27819520,120,121,220.13,secondary,0,40.0
27819521,122,123,63.92,secondary,0,40.0
27819530,102,106,700.63,secondary,0,40.0
27819538,124,125,364.32,secondary,0,58.22
27819670,126,127,20.57,secondary,0,58.22
27822248,128,129,104.99,secondary,0,58.22
27822249,130,131,61.14,secondary,0,58.22
27822377,132,133,15.96,secondary,0,58.22
27822554,134,135,157.55,secondary,0,58.22
27822583,136,137,282.47,secondary,0,20.0
27822688,138,139,689.29,secondary,0,58.22
27909087,140,141,592.85,secondary,0,58.22
27909092,142,143,27.94,secondary,0,58.22
27909101,144,145,21.5,primary,0,56.19
27909107,146,147,13.74,primary,0,56.19
27909720,148,149,27.19,primary,0,50.0
27909792,150,151,35.18,primary,0,56.19
27909857,152,153,29.9,primary,0,56.19
27909858,154,155,26.5,primary,0,50.0
27909863,156,157,787.14,primary,0,50.0
27909865,158,159,59.81,primary,0,56.19
27909867,160,161,438.65,primary,0,50.0
27909962,162,163,53.86,primary,0,56.19
27910242,164,165,285.52,secondary,0,50.0
27910287,144,166,10.04,primary,0,56.19
27914333,167,168,67.51,secondary_link,0,47.14
27914343,169,170,473.34,tertiary,0,53.15
27914370,171,172,77.44,secondary,0,58.22
27914379,172,173,940.2,secondary,0,58.22
27914388,174,175,428.7,trunk,0,80.0
27914389,176,177,25.53,trunk,0,74.39
27914390,178,179,56.06,secondary,0,58.22
27914405,180,181,630.37,trunk,0,50.0
27914480,182,174,98.69,trunk,0,80.0
27914572,183,184,327.95,trunk,0,80.0
27914578,185,182,709.13,trunk,0,80.0
27914663,186,187,372.4,secondary,0,58.22
27914685,188,189,71.67,secondary,0,58.22
27914686,190,191,21.24,primary,0,56.19
27914688,192,193,152.81,primary,0,56.19
27914698,194,195,518.21,secondary,0,58.22
27914700,196,197,28.86,secondary,0,58.22
27916944,198,199,418.41,secondary,0,58.22
27916988,200,201,2653.26,trunk,0,74.39
27917017,202,203,57.77,trunk,0,80.0
27917018,202,204,257.67,secondary,0,58.22
27917064,205,206,864.41,trunk,0,80.0
27917093,207,208,666.16,secondary,0,50.0
27927974,209,210,671.43,secondary,0,58.22
27928005,211,212,24.79,primary_link,0,45.42
27928006,213,214,120.0,secondary,0,58.22
27928007,215,216,371.89,secondary,0,50.0
27928010,217,218,398.99,secondary,0,58.22
27928047,219,220,1064.07,secondary,0,50.0
27928062,221,222,701.28,secondary,0,50.0
27928065,223,224,27.69,secondary,0,58.22
27928071,225,226,69.87,primary_link,0,45.42
27928072,227,225,768.72,secondary,0,58.22
27928075,228,229,18.44,secondary,0,58.22
27928161,230,231,772.39,secondary,0,50.0
27928204,232,233,484.9,trunk,0,50.0
27928205,234,232,74.22,trunk,0,74.39
27928221,235,236,285.8,trunk,0,74.39
27928244,215,237,92.02,secondary,0,58.22
27928265,237,238,147.03,secondary,0,50.0
27928270,239,240,47.02,secondary,0,58.22
27928271,241,242,736.51,secondary,0,58.22
27928272,243,244,798.38,secondary,0,58.22
27928277,245,246,26.31,secondary,0,58.22
27928279,247,248,419.0,secondary,0,50.0
27928286,249,250,710.84,secondary,0,58.22
27928303,251,252,31.17,secondary,0,58.22
27928304,253,251,117.93,secondary,0,58.22
27928305,254,255,113.58,secondary,0,58.22
27928415,256,257,654.98,secondary,0,60.0
27932595,258,259,139.36,secondary,0,58.22
27932597,260,261,28.5,primary,0,56.19
27932614,262,263,35.58,primary,0,56.19
27932617,264,265,49.08,secondary,0,50.0
27932620,266,267,118.09,secondary,0,50.0
27932624,196,268,23.8,tertiary,0,53.15
27932626,269,270,121.9,tertiary,0,53.15
27932640,271,272,694.0,secondary,0,58.22
28077367,273,274,7.73,secondary,0,58.22
28145911,275,276,4661.72,unclassified,0,48.2
28145955,277,278,130.21,residential,0,25.14
28145961,279,280,932.95,secondary,0,58.22
28249854,281,282,80.36,residential,0,25.14
28250005,283,284,294.82,residential,0,25.14
28250065,285,286,74.6,service,0,27.34
28275009,287,288,111.65,residential,0,25.14
28275014,289,290,9.83,residential,0,25.14
28275046,291,292,64.48,residential,0,25.14
28275067,293,294,9.89,residential,0,25.14
28275083,295,296,118.6,residential,0,25.14
28275084,297,298,110.21,residential,0,25.14
28275085,299,300,132.59,residential,0,25.14
28275101,301,302,70.05,residential,0,25.14
28275104,303,304,93.27,secondary,0,58.22
28275107,305,306,6.24,secondary,0,58.22
28275111,307,308,41.94,residential,0,25.14
28275125,309,310,119.32,residential,0,25.14
28275139,311,312,192.81,residential,0,25.14
28275155,313,314,122.59,residential,0,25.14
28275165,315,316,222.04,residential,0,25.14
28275173,317,318,238.05,residential,0,25.14
28275203,319,320,149.62,residential,0,25.14
28275205,321,322,156.39,residential,0,25.14
28275209,323,324,94.56,residential,0,25.14
28275211,325,326,7.84,secondary,0,58.22
28275218,327,328,126.92,residential,0,25.14
28275231,329,330,137.47,residential,0,25.14
28275289,331,332,140.92,residential,0,25.14
28275304,333,334,109.25,residential,0,25.14
28275310,335,336,190.98,residential,0,25.14
28275319,337,338,231.6,residential,0,25.14
28275356,339,340,235.98,residential,0,25.14
28275357,341,342,105.97,residential,0,25.14
28275366,343,344,110.52,residential,0,25.14
28275377,345,346,507.76,residential,0,25.14
28275391,347,348,130.5,residential,0,15.0
28319193,349,350,1384.2,unclassified,0,48.2
28319197,351,352,2081.18,unclassified,0,48.2
28319238,355,356,1384.2,unclassified,0,48.2
28339105,359,360,892.04,tertiary,0,53.15
28349674,361,362,106.14,residential,0,25.14
28349877,363,364,197.51,residential,0,25.14
28349959,365,366,151.55,residential,0,25.14
28350032,367,368,31.79,residential,0,25.14
28350076,369,370,198.26,secondary,0,58.22
28350175,371,372,131.94,residential,0,25.14
28350189,373,374,95.78,secondary,0,58.22
28358000,375,376,4077.98,unclassified,0,48.2
28408324,379,380,371.5,residential,0,25.14
28436060,381,347,83.11,primary,0,56.19
28436102,382,383,86.6,secondary,0,58.22
28436135,384,385,236.02,residential,0,25.14
28436136,386,387,328.18,residential,0,25.14
28436139,388,389,7.67,residential,0,25.14
28436148,390,391,77.01,residential,0,25.14
28436149,392,393,272.64,residential,0,25.14
28436155,394,395,84.85,residential,0,25.14
28436175,396,397,205.36,secondary,0,58.22
28436185,398,399,11.91,residential,0,25.14
28568069,402,403,592.17,service,0,27.34
28568093,404,405,9.49,service,0,27.34
28665156,390,384,189.59,residential,0,25.14
28665304,406,407,71.57,primary,0,56.19
28665505,408,409,93.05,residential,0,25.14
28665508,410,411,117.75,secondary,0,58.22
28665509,412,305,111.24,secondary,0,58.22
28665540,413,414,17.29,primary,0,56.19
28672647,415,416,160.19,residential,0,25.14
28672676,417,418,568.69,residential,0,25.14
28672977,287,339,118.71,residential,0,25.14
28673614,425,426,56.46,trunk_link,0,62.73
28674008,292,427,88.13,residential,0,25.14
28674411,428,429,41.74,tertiary,0,53.15
28674658,430,431,90.82,primary,0,56.19
28675023,432,433,100.3,residential,0,25.14
28675105,434,435,116.99,primary_link,0,45.42
28675153,436,437,53.89,primary_link,0,45.42
28675182,414,381,82.71,primary,0,56.19
28675308,438,439,20.6,primary_link,0,45.42
28675416,440,436,51.32,primary,0,56.19
28675940,441,442,32.54,primary,0,56.19
28675989,443,444,52.39,secondary,0,58.22
28676039,445,446,39.7,primary,0,30.0
28676268,447,448,93.74,secondary,0,58.22
28676278,449,450,106.84,secondary,0,58.22
28676486,451,452,95.79,residential,0,25.14
28676525,453,454,142.13,residential,0,25.14
28676849,455,456,68.68,residential,0,25.14
28676886,457,458,137.48,residential,0,25.14
28679385,459,460,25.23,primary_link,0,45.42
28679417,461,462,9.67,primary,0,56.19
28679432,463,464,80.54,primary,0,56.19
28732163,465,466,91.54,secondary,0,58.22
28732236,467,468,8.93,residential,0,25.14
28732262,469,470,155.45,primary,0,56.19
28734870,471,472,44.28,primary,0,56.19
28734871,473,474,37.49,primary,0,56.19
29047100,475,476,2912.58,trunk,0,80.0
29047103,477,478,828.76,trunk,0,80.0
29048152,481,482,1848.26,unclassified,0,48.2
29048161,485,486,544.5,tertiary,0,53.15
29049249,487,488,892.04,tertiary,0,53.15
29049778,489,490,60.28,trunk,0,74.39
29049799,491,492,167.66,trunk,0,80.0
29050240,493,494,1059.36,residential,0,25.14
29050971,495,496,3431.95,tertiary,0,50.0
29050979,497,498,845.46,secondary,0,58.22
29051055,499,500,117.67,secondary,0,58.22
29051516,501,502,2882.71,secondary,0,60.0
29051517,503,504,1596.65,secondary,0,58.22
29051703,505,506,28.19,trunk,0,20.0
29051705,507,508,1346.12,secondary,0,60.0
29052037,509,510,2573.64,trunk,0,80.0
29052038,511,512,767.77,residential,0,25.14
29052541,513,514,483.45,residential,0,25.14
29052773,515,516,7299.1,trunk,0,80.0
29052774,517,518,4027.76,trunk,0,80.0
29052776,519,520,4324.0,trunk,0,80.0
29052782,521,522,828.76,trunk,0,80.0
29052785,523,524,4056.52,unclassified,0,48.2
29053371,525,526,9427.44,unclassified,0,48.2
29054568,527,528,211.86,tertiary,0,53.15
29055357,529,530,6598.9,trunk,0,80.0
29055363,531,532,3394.78,trunk,0,80.0
29055741,533,534,484.0,secondary,0,58.22
29055917,535,533,267.85,primary,0,56.19
29056205,536,537,46.02,residential,0,25.14
29056207,538,539,6195.83,trunk,0,80.0
29056208,540,541,5475.7,trunk,0,80.0
29056211,542,543,215.96,trunk,0,80.0
29056213,544,545,7152.22,trunk,0,80.0
29056214,546,547,11.67,trunk,0,40.0
29056215,548,549,232.02,secondary,0,58.22
29066095,550,551,136.19,residential,0,25.14
29066097,552,553,1615.77,trunk,0,80.0
